t=2026-05-15T11:57:40+0700 lvl=info msg="no configuration paths supplied"
t=2026-05-15T11:57:40+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-15T11:57:40+0700 lvl=info msg="open config file" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-15T11:57:40+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-15T11:57:41+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-15T11:57:41+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-15T11:57:41+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-15T12:13:11+0700 lvl=info msg="join connections" obj=join id=29d25e3bb539 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:13:25+0700 lvl=info msg="join connections" obj=join id=b5ba8632ba8d l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:13:27+0700 lvl=info msg="join connections" obj=join id=a1ae2e4c4929 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:13:30+0700 lvl=info msg="join connections" obj=join id=3ae8a6e3f2c2 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:13:57+0700 lvl=info msg="join connections" obj=join id=d294e58b6b22 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:14:27+0700 lvl=info msg="join connections" obj=join id=1d4a98181be5 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:14:58+0700 lvl=info msg="join connections" obj=join id=caa28e4f0ca0 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:15:27+0700 lvl=info msg="join connections" obj=join id=ed979a5d2798 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:15:57+0700 lvl=info msg="join connections" obj=join id=6f48201e3f6b l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:16:27+0700 lvl=info msg="join connections" obj=join id=e726bf4c3130 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:16:27+0700 lvl=info msg="join connections" obj=join id=8c8eb9f65652 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:16:57+0700 lvl=info msg="join connections" obj=join id=7650c640620f l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:17:10+0700 lvl=info msg="join connections" obj=join id=2228c9a3e941 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
